n_cargos,static_v3_cost_mean,static_v3_cost_min,static_v3_cost_max,static_v3_time_ms,static_v3_rounds,dynamic_v2_cost,dynamic_v2_time_ms,dynamic_v2_rounds
1,491.0811556836035,422.40146358603545,549.2178357952582,0.207349999982398,1,422.40146358603545,1.182599997264333,1
2,743.4168922470412,604.0773860416889,949.1677301763674,0.4594999991240911,1,604.0773860416889,1.0102000087499619,1
3,958.3013750125384,630.570017274908,1196.4099821247642,0.7437000022036955,1,602.2108765628835,1.680300003499724,1
4,1050.6747937995892,714.6192829453237,1360.8455863676938,0.48909999895840883,1,613.6075389672104,1.4597999979741871,1
5,1415.9110536418088,1207.1837058392957,1874.642714222508,0.9182499998132698,1,1336.9844970233437,2.3167000035755336,1
6,1922.5292800327993,1648.6973734747896,2160.2983011114884,0.9728000004542992,2,1923.8977608505998,2.7236000023549423,2
7,2045.2347962683777,1712.2299061744393,2338.846225155329,1.1575999960768968,2,1988.1588960637637,3.5619999980553985,2
8,2351.8390568988607,2067.3395399157143,2642.527540796873,1.4281499970820732,2,2153.09852440115,3.8702000019839033,2
9,2535.729555078962,2248.34076084053,2854.2401887467613,1.691700002993457,2,2590.580205295394,4.341700012446381,2
10,2746.748721845084,2379.1298494242637,3188.963196961062,1.6989499927149154,2,2385.8797488328346,4.472500004339963,2
11,2807.9278869721443,2184.7038342720084,3376.7287417656216,1.8937000058940612,3,2371.1471573507333,4.901499996776693,3
12,2953.243368557879,2267.174632191582,3631.8983529185143,2.0691000026999973,3,2461.0382022365975,4.791300001670606,3
13,3058.6561729986715,2556.8713761140953,3762.2585365503264,1.6945500028668903,3,2574.231973443716,5.356499998015352,3
14,3276.3637749048166,2759.59197612281,4026.868054479133,1.8240999997942708,3,3090.897638781358,5.812900009914301,3
15,3591.237775547872,3182.1168541834895,4127.089464355089,2.100350000546314,3,3106.446433922178,6.995499992626719,3
16,3638.494298866208,3017.6213603212645,4195.786869857443,2.186550002079457,4,3233.2241283056837,6.33459999517072,4
17,3714.7433396763904,3147.345810924594,4545.3155370643935,2.032550000876654,4,3199.3344225591495,6.291800003964454,4
18,4492.9251000689,3809.473717310386,4978.710341148501,2.386950007348787,4,3459.028168344144,6.5734999952837825,4
19,4555.976387644351,3940.017636264328,5485.455316705487,3.0052500078454614,4,4234.253030164619,7.913399997050874,4
20,4363.898267961545,3991.1314750476713,4827.315069830263,2.497850000509061,4,4227.161211698283,7.723000002442859,4
21,4793.8002596349725,4358.394021409205,5174.926405721445,2.449599989631679,5,4308.955986427494,8.58229999721516,5
22,5283.157818867951,4727.988643357547,6086.042746590237,2.5122000006376766,5,5434.61451170685,9.826699999393895,5
23,5442.31458393189,4823.13440152047,6183.88292190249,2.728450002905447,5,5540.634432591036,9.81350000074599,5
24,5773.844082816359,5255.997913218767,6562.290771088787,2.7984499974991195,5,5262.2012135093655,9.757099993294105,5
25,5825.454449456427,5103.605687563095,6482.482794996275,3.056499997910578,5,5377.064266091557,9.6303999889642,5
26,5776.521847578547,5160.331547090358,6269.679373710231,2.8916499941260554,6,5345.741341325828,11.015599986421876,6
27,5899.126735670945,5417.732837132171,6651.086559313169,2.935199998319149,6,5560.076120028498,11.157200002344325,6
28,5906.016753492538,5153.501927931027,6451.243381383293,2.885299996705726,6,6065.992995057657,11.604100000113249,6
29,6193.274087316023,5535.454898880427,6644.455094517479,2.9462000020430423,6,5842.171507910505,11.743399998522364,6
30,6527.512021143662,6090.0399017294585,7027.535955287547,3.264400002080947,6,5677.860304810994,11.968000006163493,6
31,6599.323573177468,5800.77636064324,7481.000165060973,3.3203999992110766,7,5848.180074946675,12.998999998671934,7
32,6926.599922369414,6144.146429442217,7281.524391821406,3.339400005643256,7,6089.345422852286,13.262199994642287,7
33,6864.238171800626,6289.174670603639,7507.01756878557,3.3359500012011267,7,6404.777021080606,12.881400005426258,7
34,6832.50450767147,6305.112833364539,7491.878300256783,3.4308500034967437,7,6731.302302635753,14.469200003077276,7
35,7290.308079420594,6670.869956461532,7874.725797910765,3.6631499970098957,7,6767.911924028753,14.359300010255538,7
36,7440.415981918148,6795.396841723996,7964.250604801458,3.5539499949663877,8,6820.933136181578,14.302900002803653,8
37,7800.24568456289,7299.142212574476,8420.65603912612,3.8385000079870224,8,6799.5219030839835,14.899399990099482,8
38,7929.547672680466,7549.695978978536,8469.564316399674,3.987650001363363,8,6874.791481839471,16.722100001061335,8
