n_cargos,static_v3_cost_mean,static_v3_cost_min,static_v3_cost_max,static_v3_time_ms_median,static_v3_time_ms_min,static_v3_time_ms_max,static_v3_rounds,dynamic_v2_cost_mean,dynamic_v2_cost_min,dynamic_v2_cost_max,dynamic_v2_time_ms_median,dynamic_v2_time_ms_min,dynamic_v2_time_ms_max,dynamic_v2_rounds
1,626.5643854123684,450.98138058458466,936.4060734890419,0.23385000531561673,0.17179999849759042,0.305499997921288,1,342.53020895112337,342.53020895112337,342.53020895112337,0.7975500047905371,0.7493000011891127,1.0058000043500215,1
2,822.8613212243021,559.8352433764237,1073.6801192880519,0.3674999898066744,0.2643000043462962,0.6489999941550195,1,533.0723120821017,533.0723120821017,533.0723120821017,1.2349000026006252,1.1137999827042222,1.4916000072844326,1
3,988.5704861058061,788.3634342389608,1319.8058762937956,0.5985500174574554,0.40530000114813447,0.9565999789629132,1,843.5646901708869,843.5646901708869,843.5646901708869,1.5128999802982435,1.3263000000733882,2.0382000075187534,1
4,1035.9807922253367,837.8270671847475,1277.5408633632555,0.6346000009216368,0.5646999925374985,2.5741000135894865,1,967.1205694561817,859.4986531576318,1038.3463511646153,1.6891499981284142,1.4359999913722277,1.9653000053949654,1
5,1384.8584480781228,1099.8210025551111,1649.517376377698,0.868949995492585,0.7135999912861735,1.1986000172328204,1,1367.442285059862,1249.8514346673514,1528.3884736139398,2.056650002487004,1.719099993351847,3.5831000132020563,1
6,2021.2947579517918,1651.3749519899707,2707.5848147760003,1.0119999933522195,0.8151999791152775,1.4318000175990164,2,1910.4962164604265,1792.905366067916,2071.4424050145044,2.4038999836193398,2.2794000105932355,2.860700013116002,2
7,2148.947244792435,1517.7369585805077,2884.9032417472613,1.2422500003594905,0.7956000044941902,1.517900003818795,2,2045.584794188625,1937.074668349823,2215.611707296411,3.0229499971028417,2.939800004241988,3.2002000079955906,2
8,2440.667557202321,1992.5484936322423,2880.255141871939,1.5469499921891838,1.077399996574968,2.6282000180799514,2,2049.9126176751583,1770.273922608563,2176.859123345584,3.0943999881856143,3.0787999858148396,3.363399999216199,2
9,2606.2118824355775,2297.2536153476385,2995.142192109988,1.4470999885816127,1.2206000101286918,1.87569999252446,2,2173.3098421134528,1950.9888543472575,2387.6918800439,3.81440001365263,3.3636000007390976,5.16039997455664,2
10,2751.315655568302,2384.091362289797,3270.817562401805,1.6818000003695488,1.4539000112563372,2.875200007110834,2,2635.4746571887563,2473.0842231363913,2785.2921916903615,3.1688500166637823,3.0300999933388084,3.587600018363446,2
11,2908.553296854628,2371.8663707969745,3785.6904975770626,1.7944500141311437,1.2436000106390566,2.3234999971464276,3,2074.7371575869806,1891.8813578770257,2347.812151152869,3.6761000083060935,3.5287000064272434,4.779199982294813,3
12,3067.4664981575215,2453.8138288759483,3702.235345394193,1.7244499904336408,1.3665000151377171,2.451800013659522,3,2790.526234515989,2665.936825864169,2943.8974852570163,4.439650001586415,4.221300012432039,6.699599995044991,3
13,3135.3995454736687,2625.594030144424,3680.6124684703864,1.6186000138986856,1.4432000170927495,2.1456000104080886,3,3156.4141924143955,2975.1617318407707,3381.138241638898,5.323799996403977,4.6910000091884285,5.777100013801828,3
14,3343.1898432161024,2607.237252420776,3994.436551873132,1.974700004211627,1.4597999979741871,3.2752999977674335,3,3224.0863853991664,2976.930677976725,3342.0672089767395,5.294400005368516,5.195100005948916,5.639800016069785,3
15,3609.3015457907127,2942.451337034014,4195.6693878925735,2.0999499975005165,1.4856999914627522,2.828700002282858,3,3772.1723451607377,3640.7740246338262,3945.630577163785,5.53224999748636,5.2133999997749925,5.73830000939779,3
16,3736.5305082214254,3131.250803821091,4314.942349187941,1.9924999942304567,1.5256000042427331,2.5305000017397106,4,3215.769227848161,3001.71113087495,3356.5629263068004,6.001849993481301,5.751699995016679,6.38119998620823,4
17,3752.9580210321865,3118.0904523284576,4404.778929187631,1.8506999913370237,1.6693999932613224,2.632700023241341,4,2963.7129896871074,2910.349721254287,3065.6045943718823,5.525400003534742,5.277599993860349,6.629599985899404,4
18,4496.601710117488,4126.550531022888,5506.180908815711,2.1583500056294724,1.7127000028267503,2.629399998113513,4,3433.696069225697,3380.3328007928767,3535.587673910472,5.935200009844266,5.698799999663606,9.066300000995398,4
