model,kind,range,n_points,b,se_b,p_b_eq_1,p_b_eq_2,label,params,aic,bic,s_rel,chi2,dof,chi2_red,p
static_v3,exponent,n>=1,200,0.797635855017763,0.004647636074393549,0.0,0.0,,,,,,,,,
static_v3,exponent,n>=25,176,0.846364626011143,0.006294556544118576,1.4182720616997282e-131,0.0,,,,,,,,,
static_v3,exponent,n>=50,151,0.8550216810854464,0.009168860453151911,2.570389086421197e-56,0.0,,,,,,,,,
static_v3,exponent,n>=100,101,0.823683771830238,0.013991325061428478,2.0631511157014007e-36,0.0,,,,,,,,,
static_v3,exponent,n>=150,51,0.9113856545836101,0.038335590331016293,0.020802909775705508,2.204485076799673e-177,,,,,,,,,
static_v3,best_ml,n>=1,200,,,,,a + b*n^c  (степенная со сдвигом),0.0559642;0.202278;0.816922,-544.2674636366716,-531.0741941704794,0.06129540651247591,,,,
static_v3,best_chi2_local,n>=1,200,,,,,a + b*n^c  (степенная со сдвигом),0.0594758;0.194524;0.824552,,,,744.678999226749,197,3.780096442775376,1.3021976977183989e-64
dynamic_v2,exponent,n>=1,200,1.3039160276497062,0.015305934123635588,9.761847986148066e-88,0.0,,,,,,,,,
dynamic_v2,exponent,n>=25,176,1.5582375767300676,0.004810934072073031,0.0,0.0,,,,,,,,,
dynamic_v2,exponent,n>=50,151,1.5903161682665916,0.005571168767104929,0.0,0.0,,,,,,,,,
dynamic_v2,exponent,n>=100,101,1.6482533630660579,0.008422294043489667,0.0,0.0,,,,,,,,,
dynamic_v2,exponent,n>=150,51,1.7099373023804545,0.01605029934674778,0.0,5.285777161040833e-73,,,,,,,,,
dynamic_v2,best_ml,n>=1,200,,,,,a + b*n + c*W(n)  (структурная + линейный),0.612124;0.232106;0.0439504,-665.221010551018,-652.0277410848258,0.045300634467905866,,,,
dynamic_v2,best_chi2_local,n>=1,200,,,,,a + b*n + c*W(n)  (структурная + линейный),0.606499;0.228526;0.0441675,,,,1563.1222278941302,197,7.934630598447361,5.197377820376468e-211
